source-cph,source-count,source-date,target-cph,target-count,target-date,animal-type,haulier-id
20/106/5240,1,2024-10-04,45/110/2091,1,2024-10-04,BOV,H0096
14/101/5551,8,2024-09-28,43/110/7680,8,2024-09-29,BOV,H0008
58/106/1499,10,2024-04-30,80/104/9106,10,2024-05-03,BOV,H0016
68/104/7717,3,2024-08-02,21/104/7988,3,2024-08-04,POR,H0034
14/104/3572,16,2024-03-08,21/113/2293,16,2024-03-10,OVI,H0059
44/117/3237,5,2024-11-14,46/106/8960,5,2024-11-14,OVI,H0010
47/102/2370,9,2024-05-05,57/103/7768,8,2024-05-07,POR,H0037
18/105/5476,46,2024-11-30,21/109/6724,46,2024-11-30,OVI,H0086
46/105/6171,57,2024-02-29,47/108/1420,57,2024-02-29,POR,H0096
47/104/3940,10,2024-06-24,58/103/4865,10,2024-06-25,BOV,H0088
57/103/7768,8,2024-01-27,59/101/6657,8,2024-01-27,BOV,H0082
44/112/6420,1,2024-03-07,43/105/5797,1,2024-03-09,BOV,H0021
88/103/7882,28,2024-02-27,74/102/8897,28,2024-02-27,POR,H0089
79/102/7075,38,2024-08-08,18/108/0556,38,2024-08-09,OVI,H0006
14/103/4165,51,2024-07-02,18/104/0164,50,2024-07-03,OVI,H0088
44/107/2090,9,2024-07-27,18/108/0556,9,2024-07-28,BOV,H0031
65/102/1500,57,2024-04-01,46/101/1826,57,2024-04-03,OVI,H0053
57/103/7768,18,2024-12-25,21/109/6724,18,2024-12-25,OVI,H0049
82/101/9575,8,2024-04-26,21/102/2243,8,2024-04-27,BOV,H0004
60/103/8586,5,2024-05-22,90/101/0852,5,2024-05-24,BOV,H0083
47/106/2335,54,2024-01-15,47/101/0376,54,2024-01-15,POR,H0034
43/104/0879,17,2024-11-01,43/105/5797,17,2024-11-04,CERV,H0045
72/102/0679,10,2024-07-16,69/102/7483,11,2024-07-17,BOV,H0033
44/116/3299,9,2024-12-17,44/118/4884,4,2024-12-18,BOV,H0047
21/113/2293,22,2024-12-05,44/114/8427,22,2024-12-05,CERV,H0093
84/102/7775,21,2024-05-31,44/113/2793,21,2024-06-01,POR,H0025
44/111/0907,12,2024-06-03,14/104/3572,12,2024-06-06,CERV,H0071
18/106/4621,10,2024-06-13,59/105/3762,10,2024-06-16,BOV,H0057
43/108/3423,8,2024-03-27,45/104/4653,8,2024-03-27,BOV,H0037
57/102/8978,22,2024-04-30,59/104/6331,22,2024-05-02,POR,H0029
46/104/8944,8,2024-02-07,58/103/4865,8,2024-02-10,BOV,H0054
74/101/2457,25,2024-05-04,20/102/8452,25,2024-05-05,OVI,H0084
78/101/8446,56,2024-02-24,91/102/7168,56,2024-02-27,OVI,H0029
44/102/6848,34,2024-10-12,44/113/2793,34,2024-10-13,CERV,H0016
43/105/5797,43,2024-10-13,19/108/4032,43,2024-10-15,OVI,H0097
70/101/7784,33,2024-10-07,14/102/1127,33,2024-10-10,OVI,H0021
75/102/1580,5,2024-11-22,67/104/8627,5,2024-11-24,BOV,H0099
21/112/3914,8,2024-05-26,59/104/6331,8,2024-05-27,BOV,H0035
44/117/3237,6,2024-04-28,43/109/2637,6,2024-05-01,OVI,H0089
43/111/5983,7,2024-10-04,46/102/6489,7,2024-10-07,BOV,H0054
43/110/7680,25,2024-12-22,45/101/7297,20,2024-12-22,OVI,H0098
47/107/1950,6,2024-07-18,58/104/2683,6,2024-07-21,BOV,H0069
72/102/0679,39,2024-09-06,60/103/8586,39,2024-09-07,POR,H0035
44/102/6848,6,2024-07-26,44/110/2404,6,2024-07-27,BOV,H0060
88/102/5115,59,2024-10-15,21/103/5444,59,2024-10-15,POR,H0011
57/104/4358,8,2024-05-13,57/102/8978,8,2024-05-16,BOV,H0042
18/110/8187,7,2024-08-03,46/103/9340,7,2024-08-05,BOV,H0011
20/108/0989,4,2024-04-24,21/112/3914,6,2024-04-24,OVI,H0100
58/103/4865,4,2024-01-11,60/104/2954,4,2024-01-12,BOV,H0031
43/111/5983,37,2024-12-24,20/103/3608,33,2024-12-26,POR,H0099
20/104/4395,48,2024-03-24,44/109/6112,48,2024-03-26,POR,H0014
58/101/0855,37,2024-07-11,59/101/6657,37,2024-07-14,CERV,H0092
19/106/0928,54,2024-02-22,21/113/2293,54,2024-02-24,POR,H0088
57/104/4358,10,2024-06-26,47/102/2370,10,2024-06-29,BOV,H0085
21/101/0374,22,2024-08-03,45/106/0552,22,2024-08-06,POR,H0014
21/104/7988,8,2024-08-10,20/106/5240,8,2024-08-11,BOV,H0094
58/106/1499,40,2024-10-02,59/105/3762,40,2024-10-05,POR,H0060
18/113/8362,18,2024-05-05,18/112/5805,18,2024-05-05,OVI,H0036
44/103/2031,10,2024-06-21,83/102/4189,10,2024-06-21,BOV,H0064
44/118/4884,5,2024-11-01,94/103/3605,5,2024-11-03,BOV,H0072
45/111/7641,6,2024-07-27,21/102/2243,6,2024-07-30,CERV,H0072
47/107/1950,32,2024-01-09,46/107/7764,32,2024-01-09,POR,H0038
44/110/2404,20,2024-07-07,21/106/7308,20,2024-07-10,POR,H0071
47/106/2335,9,2024-12-25,58/104/2683,9,2024-12-28,BOV,H0035
21/111/1316,4,2024-10-01,18/107/6213,4,2024-10-02,BOV,H0025
20/104/4395,10,2024-11-01,18/113/8362,5,2024-11-03,BOV,H0013
21/111/1316,5,2024-09-30,58/105/9218,5,2024-10-01,BOV,H0036
43/107/6335,5,2024-03-05,21/114/5617,5,2024-03-08,BOV,H0014
86/102/6401,8,2024-01-27,18/113/8362,8,2024-01-29,BOV,H0062
21/106/7308,8,2024-11-18,19/103/4972,8,2024-11-18,BOV,H0020
18/108/0556,20,2024-05-07,18/114/1531,20,2024-05-07,POR,H0072
59/101/6657,15,2024-07-13,21/114/5617,15,2024-07-16,OVI,H0057
43/105/5797,28,2024-11-13,44/116/3299,28,2024-11-13,POR,H0079
58/103/4865,41,2024-12-04,82/102/9679,41,2024-12-04,OVI,H0021
44/105/6859,11,2024-08-18,43/110/7680,11,2024-08-21,POR,H0038
21/116/1063,5,2024-08-20,44/119/3088,5,2024-08-20,BOV,H0088
43/109/2637,10,2024-04-11,46/104/8944,10,2024-04-14,BOV,H0015
47/108/1420,59,2024-03-13,47/104/3940,59,2024-03-13,POR,H0008
21/105/0410,10,2024-03-04,21/115/0282,6,2024-03-07,BOV,H0089
19/101/6963,5,2024-09-09,20/109/6169,5,2024-09-12,BOV,H0011
57/101/7138,48,2024-05-08,47/105/8519,48,2024-05-08,OVI,H0012
21/106/7308,56,2024-01-11,18/103/1134,56,2024-01-13,POR,H0074
19/106/0928,31,2024-08-14,44/104/6336,31,2024-08-16,OVI,H0024
58/104/2683,6,2024-07-28,61/102/6716,6,2024-07-30,OVI,H0042
79/104/7356,22,2024-09-10,79/102/7075,22,2024-09-12,OVI,H0085
84/103/4695,30,2024-05-09,21/106/7308,30,2024-05-11,POR,H0015
59/104/6331,1,2024-10-04,67/103/7011,1,2024-10-07,POR,H0053
43/104/0879,40,2024-11-16,45/110/2091,40,2024-11-19,POR,H0098
43/106/8719,3,2024-12-23,14/104/3572,1,2024-12-26,BOV,H0016
44/103/2031,52,2024-03-22,45/108/6808,52,2024-03-24,POR,H0071
21/104/7988,4,2024-08-24,20/108/0989,5,2024-08-24,BOV,H0083
21/111/1316,33,2024-07-31,47/107/1950,33,2024-08-03,OVI,H0061
43/106/8719,25,2024-11-02,21/107/3753,25,2024-11-03,POR,H0009
46/102/6489,27,2024-09-16,19/106/0928,27,2024-09-18,OVI,H0001
45/111/7641,10,2024-12-03,18/110/8187,10,2024-12-06,BOV,H0020
43/110/7680,6,2024-10-05,20/108/0989,6,2024-10-08,BOV,H0059
80/103/4188,16,2024-04-29,43/106/8719,16,2024-05-02,CERV,H0006
20/109/6169,7,2024-12-05,21/114/5617,7,2024-12-06,BOV,H0064
59/105/3762,22,2024-08-13,84/103/4695,22,2024-08-13,CERV,H0068
43/109/2637,3,2024-05-15,60/103/8586,3,2024-05-17,BOV,H0080
63/103/3682,55,2024-12-11,84/103/4695,55,2024-12-14,POR,H0041
47/107/1950,32,2024-01-19,57/102/8978,32,2024-01-19,OVI,H0031
47/106/2335,15,2024-08-10,57/102/8978,15,2024-08-10,CERV,H0098
58/104/2683,29,2024-06-02,47/101/0376,29,2024-06-02,OVI,H0006
19/106/0928,6,2024-03-15,44/106/6022,6,2024-03-16,BOV,H0068
43/109/2637,12,2024-02-10,18/107/6213,12,2024-02-13,POR,H0080
94/102/0130,10,2024-08-24,70/102/6747,10,2024-08-26,BOV,H0059
43/102/2744,8,2024-03-21,21/108/5832,3,2024-03-21,BOV,H0057
62/102/8014,7,2024-08-21,45/107/0562,7,2024-08-23,BOV,H0026
73/102/0069,7,2024-10-21,47/106/2335,7,2024-10-23,BOV,H0090
43/110/7680,26,2024-10-16,19/108/4032,26,2024-10-16,CERV,H0078
85/101/3152,58,2024-04-27,87/101/0295,58,2024-04-29,OVI,H0029
58/105/9218,44,2024-12-03,47/104/3940,44,2024-12-04,POR,H0081
18/101/5435,3,2024-08-13,20/101/1631,3,2024-08-13,POR,H0075
43/101/6105,5,2024-07-31,43/104/0879,5,2024-08-01,BOV,H0026
43/103/0734,24,2024-05-19,20/109/6169,24,2024-05-20,POR,H0033
63/101/5850,19,2024-06-22,45/101/7297,19,2024-06-22,CERV,H0060
59/101/6657,26,2024-07-06,94/102/0130,21,2024-07-06,CERV,H0051
44/105/6859,30,2024-12-10,43/106/8719,30,2024-12-12,POR,H0075
44/104/6336,24,2024-04-29,46/107/7764,24,2024-05-02,POR,H0004
57/104/4358,21,2024-11-27,58/106/1499,19,2024-11-27,CERV,H0082
58/103/4865,7,2024-01-24,21/108/5832,7,2024-01-24,BOV,H0039
58/101/0855,9,2024-08-20,74/102/8897,9,2024-08-22,BOV,H0086
67/104/8627,38,2024-03-20,45/105/3877,38,2024-03-23,POR,H0084
20/106/5240,7,2024-01-17,18/104/0164,4,2024-01-19,BOV,H0028
43/109/2637,24,2024-12-17,19/104/6041,24,2024-12-19,CERV,H0070
77/101/1830,5,2024-03-03,45/104/4653,5,2024-03-06,BOV,H0012
93/101/2942,39,2024-06-19,93/102/6243,38,2024-06-20,POR,H0017
20/104/4395,36,2024-04-20,58/106/1499,36,2024-04-21,OVI,H0043
59/102/0681,18,2024-03-15,44/112/6420,18,2024-03-16,POR,H0070
43/108/3423,1,2024-07-02,45/101/7297,1,2024-07-03,BOV,H0076
43/101/6105,1,2024-08-03,20/107/0777,1,2024-08-03,BOV,H0096
43/107/6335,6,2024-02-25,44/115/0281,6,2024-02-28,BOV,H0065
14/101/5551,47,2024-12-03,21/108/5832,47,2024-12-05,POR,H0059
58/101/0855,8,2024-08-06,47/106/2335,8,2024-08-06,BOV,H0063
73/101/2323,2,2024-03-16,76/102/4719,2,2024-03-16,BOV,H0017
45/103/2966,36,2024-07-14,45/105/3877,36,2024-07-16,POR,H0059
58/104/2683,2,2024-11-29,57/102/8978,2,2024-11-30,BOV,H0056
19/106/0928,6,2024-07-23,21/104/7988,6,2024-07-26,BOV,H0094
18/104/0164,5,2024-03-19,19/108/4032,5,2024-03-22,BOV,H0009
19/102/4665,7,2024-07-09,20/101/1631,7,2024-07-10,BOV,H0072
21/113/2293,36,2024-03-03,20/104/4395,36,2024-03-06,CERV,H0046
85/101/3152,1,2024-11-03,14/102/1127,1,2024-11-05,BOV,H0046
21/114/5617,10,2024-04-24,20/111/5586,10,2024-04-24,POR,H0045
45/101/7297,37,2024-08-07,57/103/7768,37,2024-08-07,OVI,H0078
87/102/8921,3,2024-06-07,43/108/3423,3,2024-06-09,BOV,H0045
18/101/5435,37,2024-02-05,44/112/6420,37,2024-02-06,OVI,H0095
58/106/1499,9,2024-08-02,57/103/7768,9,2024-08-05,BOV,H0044
44/107/2090,6,2024-10-17,19/108/4032,6,2024-10-17,BOV,H0007
45/107/0562,4,2024-05-19,44/118/4884,4,2024-05-22,OVI,H0085
44/115/0281,27,2024-09-19,46/103/9340,27,2024-09-19,POR,H0045
43/111/5983,10,2024-12-07,20/109/6169,10,2024-12-09,BOV,H0006
44/109/6112,4,2024-06-03,21/102/2243,4,2024-06-04,CERV,H0099
46/103/9340,6,2024-09-11,44/106/6022,6,2024-09-14,BOV,H0023
45/110/2091,15,2024-12-08,19/102/4665,15,2024-12-10,POR,H0010
46/101/1826,28,2024-02-09,44/116/3299,28,2024-02-11,OVI,H0074
44/113/2793,7,2024-07-26,19/109/2955,7,2024-07-26,BOV,H0042
18/107/6213,30,2024-07-04,43/104/0879,30,2024-07-04,CERV,H0056
21/111/1316,34,2024-06-07,59/101/6657,34,2024-06-09,POR,H0029
44/119/3088,9,2024-09-28,45/111/7641,9,2024-09-29,BOV,H0100
19/104/6041,53,2024-03-16,43/110/7680,53,2024-03-17,OVI,H0014
14/103/4165,10,2024-12-01,45/103/2966,10,2024-12-01,BOV,H0023
77/102/0208,10,2024-08-17,47/107/1950,10,2024-08-19,BOV,H0081
20/107/0777,8,2024-06-04,44/114/8427,8,2024-06-06,BOV,H0076
44/117/3237,20,2024-01-20,19/106/0928,20,2024-01-20,POR,H0048
21/116/1063,55,2024-10-31,47/108/1420,55,2024-11-03,OVI,H0060
47/106/2335,3,2024-10-19,58/102/9234,3,2024-10-20,CERV,H0042
59/102/0681,4,2024-06-24,59/103/9713,4,2024-06-24,POR,H0065
59/105/3762,8,2024-07-05,59/102/0681,9,2024-07-07,BOV,H0037
44/104/6336,44,2024-11-19,14/106/1194,44,2024-11-21,OVI,H0009
44/101/1013,25,2024-12-02,14/104/3572,25,2024-12-03,POR,H0043
45/109/5841,59,2024-12-01,45/104/4653,59,2024-12-04,POR,H0017
47/105/8519,20,2024-11-25,47/104/3940,20,2024-11-27,CERV,H0017
73/103/4974,48,2024-11-26,65/101/4707,49,2024-11-29,OVI,H0066
21/116/1063,3,2024-09-05,44/116/3299,1,2024-09-06,BOV,H0029
59/103/9713,2,2024-10-03,68/103/5543,2,2024-10-03,BOV,H0085
44/112/6420,9,2024-03-19,18/106/4621,9,2024-03-20,OVI,H0024
57/103/7768,11,2024-01-23,14/104/3572,11,2024-01-26,OVI,H0047
65/103/7869,8,2024-08-17,68/102/3759,8,2024-08-18,BOV,H0069
18/111/8115,31,2024-07-07,43/109/2637,29,2024-07-10,CERV,H0060
58/104/2683,27,2024-11-05,18/114/1531,25,2024-11-06,POR,H0033
44/114/8427,6,2024-02-22,18/103/1134,6,2024-02-22,BOV,H0037
43/106/8719,8,2024-08-11,18/106/4621,6,2024-08-11,BOV,H0029
59/101/6657,27,2024-09-14,44/103/2031,27,2024-09-16,CERV,H0031
44/113/2793,4,2024-02-20,44/103/2031,4,2024-02-22,BOV,H0019
43/111/5983,8,2024-03-12,44/114/8427,8,2024-03-15,BOV,H0058
58/101/0855,2,2024-03-17,58/106/1499,2,2024-03-20,CERV,H0015
18/114/1531,4,2024-11-14,47/108/1420,4,2024-11-17,BOV,H0009
43/101/6105,39,2024-11-19,18/101/5435,39,2024-11-20,CERV,H0092
19/103/4972,10,2024-10-19,20/102/8452,10,2024-10-22,BOV,H0024
87/102/8921,6,2024-09-26,80/103/4188,6,2024-09-26,BOV,H0050
21/115/0282,6,2024-01-09,68/101/2845,6,2024-01-11,BOV,H0009
20/111/5586,41,2024-10-24,44/113/2793,41,2024-10-26,OVI,H0018
18/110/8187,53,2024-12-16,44/105/6859,53,2024-12-19,POR,H0090
18/109/4035,3,2024-08-22,43/111/5983,3,2024-08-22,BOV,H0038
44/118/4884,57,2024-06-07,19/107/2569,57,2024-06-10,OVI,H0070
45/109/5841,4,2024-01-25,43/103/0734,4,2024-01-27,BOV,H0035
18/114/1531,7,2024-07-16,18/101/5435,7,2024-07-18,BOV,H0024
20/104/4395,9,2024-02-12,44/119/3088,9,2024-02-15,BOV,H0011
45/101/7297,12,2024-06-13,21/116/1063,12,2024-06-13,CERV,H0011
45/101/7297,8,2024-08-06,19/103/4972,8,2024-08-07,BOV,H0089
19/109/2955,6,2024-08-10,45/105/3877,6,2024-08-12,BOV,H0082
77/102/0208,7,2024-12-13,58/103/4865,7,2024-12-14,BOV,H0004
43/105/5797,51,2024-03-05,18/103/1134,51,2024-03-05,POR,H0031
20/107/0777,10,2024-03-19,57/102/8978,10,2024-03-22,BOV,H0048
43/101/6105,37,2024-07-06,45/109/5841,37,2024-07-09,OVI,H0041
58/106/1499,2,2024-04-05,47/102/2370,2,2024-04-08,BOV,H0067
21/115/0282,17,2024-12-26,18/104/0164,17,2024-12-29,POR,H0028
59/103/9713,32,2024-03-10,76/101/4077,32,2024-03-10,CERV,H0058
44/104/6336,6,2024-06-12,44/114/8427,6,2024-06-14,OVI,H0091
20/105/9566,58,2024-03-21,18/102/0498,58,2024-03-22,POR,H0047
58/103/4865,4,2024-05-01,58/105/9218,4,2024-05-04,BOV,H0004
18/106/4621,30,2024-10-09,21/102/2243,30,2024-10-10,POR,H0079
20/106/5240,8,2024-07-28,80/102/5046,8,2024-07-28,BOV,H0017
61/102/6716,9,2024-10-09,47/108/1420,9,2024-10-10,BOV,H0099
47/105/8519,4,2024-09-22,94/101/2124,4,2024-09-23,CERV,H0039
44/107/2090,4,2024-09-22,44/119/3088,4,2024-09-24,BOV,H0011
44/116/3299,36,2024-11-16,21/108/5832,36,2024-11-18,POR,H0079
59/103/9713,11,2024-10-24,57/103/7768,11,2024-10-25,POR,H0022
94/102/0130,39,2024-10-15,66/103/6491,39,2024-10-15,OVI,H0004
18/110/8187,37,2024-04-17,46/103/9340,37,2024-04-20,CERV,H0080
57/102/8978,9,2024-06-03,57/103/7768,9,2024-06-06,BOV,H0032
58/103/4865,2,2024-03-21,19/105/6652,2,2024-03-24,BOV,H0054
21/112/3914,10,2024-06-12,20/104/4395,10,2024-06-14,BOV,H0052
21/108/5832,9,2024-05-03,43/110/7680,9,2024-05-06,BOV,H0016
43/106/8719,2,2024-07-15,14/105/3675,2,2024-07-18,BOV,H0032
80/102/5046,60,2024-06-09,47/103/5628,60,2024-06-10,OVI,H0098
43/109/2637,30,2024-06-06,44/102/6848,30,2024-06-09,CERV,H0003
21/103/5444,8,2024-10-25,44/112/6420,6,2024-10-27,BOV,H0007
45/107/0562,8,2024-01-05,45/108/6808,8,2024-01-05,BOV,H0056
21/113/2293,6,2024-07-06,20/104/4395,6,2024-07-06,BOV,H0052
19/104/6041,24,2024-02-07,45/102/5645,24,2024-02-10,POR,H0065
46/103/9340,53,2024-03-06,21/105/0410,54,2024-03-06,POR,H0051
14/103/4165,36,2024-04-11,21/114/5617,34,2024-04-14,CERV,H0065
46/107/7764,6,2024-09-22,46/101/1826,6,2024-09-25,BOV,H0020
47/106/2335,21,2024-03-24,59/105/3762,18,2024-03-27,POR,H0079
80/102/5046,6,2024-09-17,83/103/4451,6,2024-09-20,BOV,H0091
58/106/1499,1,2024-12-10,58/102/9234,1,2024-12-10,BOV,H0054
58/104/2683,47,2024-11-18,58/106/1499,47,2024-11-18,OVI,H0077
20/108/0989,38,2024-01-27,45/111/7641,38,2024-01-30,CERV,H0022
59/103/9713,50,2024-03-16,58/105/9218,50,2024-03-17,OVI,H0005
59/103/9713,13,2024-06-09,57/101/7138,13,2024-06-12,OVI,H0020
45/102/5645,9,2024-08-29,18/107/6213,9,2024-08-29,BOV,H0091
21/101/0374,6,2024-09-26,18/108/0556,8,2024-09-29,BOV,H0041
47/101/0376,35,2024-12-14,79/104/7356,35,2024-12-16,POR,H0079
21/108/5832,18,2024-04-25,43/110/7680,18,2024-04-27,CERV,H0099
46/101/1826,8,2024-06-27,18/108/0556,8,2024-06-29,BOV,H0037
44/108/6668,25,2024-07-21,44/118/4884,25,2024-07-23,POR,H0099
18/101/5435,2,2024-08-14,57/101/7138,2,2024-08-16,BOV,H0096
18/103/1134,9,2024-10-14,21/108/5832,9,2024-10-16,BOV,H0018
21/110/1147,16,2024-12-08,18/111/8115,16,2024-12-09,OVI,H0082
19/108/4032,6,2024-02-21,19/106/0928,6,2024-02-22,BOV,H0001
65/101/4707,8,2024-04-12,47/101/0376,8,2024-04-14,BOV,H0042
43/111/5983,2,2024-04-28,44/101/1013,2,2024-04-28,BOV,H0023
46/102/6489,60,2024-09-10,20/105/9566,56,2024-09-11,OVI,H0096
71/104/3751,1,2024-11-04,57/103/7768,1,2024-11-04,OVI,H0043
20/102/8452,35,2024-03-09,46/102/6489,35,2024-03-12,CERV,H0035
43/108/3423,3,2024-11-27,21/114/5617,3,2024-11-29,BOV,H0092
44/113/2793,51,2024-12-11,44/118/4884,51,2024-12-12,OVI,H0023
58/101/0855,26,2024-09-20,57/104/4358,26,2024-09-22,POR,H0012
21/102/2243,3,2024-05-07,44/107/2090,3,2024-05-07,BOV,H0034
44/115/0281,5,2024-10-25,44/117/3237,2,2024-10-25,BOV,H0034
79/103/3637,4,2024-08-26,94/102/0130,4,2024-08-28,POR,H0021
45/105/3877,58,2024-06-08,21/102/2243,58,2024-06-08,POR,H0082
20/101/1631,15,2024-03-19,86/104/7004,11,2024-03-22,POR,H0096
47/106/2335,59,2024-10-02,82/102/9679,59,2024-10-03,OVI,H0098
21/108/5832,56,2024-09-26,46/102/6489,56,2024-09-29,OVI,H0068
67/104/8627,10,2024-10-07,89/101/6280,10,2024-10-08,BOV,H0074
57/104/4358,9,2024-12-14,47/101/0376,9,2024-12-15,BOV,H0092
47/102/2370,9,2024-01-29,58/102/9234,9,2024-02-01,BOV,H0017
58/103/4865,1,2024-12-10,47/108/1420,1,2024-12-12,BOV,H0093
43/104/0879,1,2024-10-23,14/106/1194,1,2024-10-23,BOV,H0006
18/114/1531,35,2024-08-29,44/103/2031,36,2024-08-29,OVI,H0037
44/115/0281,50,2024-11-26,45/108/6808,50,2024-11-29,OVI,H0048
47/105/8519,59,2024-02-11,81/102/0810,59,2024-02-12,OVI,H0084
18/103/1134,26,2024-04-24,93/102/6243,26,2024-04-24,CERV,H0097
14/106/1194,9,2024-07-13,18/105/5476,9,2024-07-14,BOV,H0032
19/108/4032,4,2024-02-27,18/110/8187,1,2024-02-27,BOV,H0085
45/101/7297,57,2024-05-03,45/103/2966,57,2024-05-04,OVI,H0009
45/107/0562,10,2024-01-25,18/101/5435,10,2024-01-26,BOV,H0095
18/109/4035,9,2024-01-29,21/113/2293,9,2024-01-30,BOV,H0065
47/101/0376,37,2024-11-02,60/101/5598,37,2024-11-04,CERV,H0031
43/111/5983,9,2024-06-02,18/114/1531,9,2024-06-04,BOV,H0008
58/101/0855,48,2024-10-11,59/105/3762,44,2024-10-14,POR,H0007
62/102/8014,51,2024-12-22,59/101/6657,51,2024-12-25,POR,H0053
45/109/5841,9,2024-04-25,18/114/1531,9,2024-04-27,BOV,H0091
18/112/5805,1,2024-08-01,20/108/0989,1,2024-08-02,BOV,H0050
44/114/8427,2,2024-02-17,45/108/6808,1,2024-02-18,BOV,H0007
44/108/6668,39,2024-02-07,19/101/6963,39,2024-02-08,POR,H0098
58/105/9218,14,2024-06-19,59/101/6657,14,2024-06-21,POR,H0002
19/105/6652,2,2024-09-02,21/108/5832,2,2024-09-03,BOV,H0090
58/103/4865,4,2024-05-24,47/102/2370,4,2024-05-27,BOV,H0060
58/104/2683,5,2024-09-11,59/104/6331,5,2024-09-14,BOV,H0013
47/103/5628,21,2024-06-09,18/112/5805,18,2024-06-12,OVI,H0006
47/102/2370,3,2024-10-10,58/105/9218,3,2024-10-13,BOV,H0038
18/112/5805,7,2024-05-05,18/109/4035,7,2024-05-08,BOV,H0071
67/101/6113,17,2024-09-07,79/101/5616,17,2024-09-10,POR,H0059
19/103/4972,11,2024-10-06,46/104/8944,11,2024-10-09,OVI,H0024
74/103/3523,4,2024-02-08,45/111/7641,4,2024-02-08,POR,H0098
21/114/5617,4,2024-03-18,18/114/1531,4,2024-03-18,BOV,H0028
58/102/9234,10,2024-11-11,58/104/2683,10,2024-11-14,BOV,H0085
45/101/7297,9,2024-01-09,20/104/4395,9,2024-01-11,BOV,H0069
57/103/7768,44,2024-04-01,60/101/5598,44,2024-04-01,OVI,H0013
47/105/8519,10,2024-06-30,58/104/2683,10,2024-07-02,BOV,H0051
18/111/8115,30,2024-12-22,18/101/5435,30,2024-12-23,CERV,H0039
68/104/7717,42,2024-02-17,76/103/4943,43,2024-02-20,OVI,H0049
44/111/0907,1,2024-02-12,45/101/7297,1,2024-02-15,BOV,H0056
57/104/4358,2,2024-01-22,58/106/1499,2,2024-01-23,BOV,H0028
80/102/5046,18,2024-02-08,46/106/8960,18,2024-02-10,POR,H0070
47/106/2335,6,2024-04-16,47/102/2370,6,2024-04-17,BOV,H0097
59/101/6657,20,2024-05-03,45/108/6808,20,2024-05-06,CERV,H0087
18/111/8115,9,2024-12-18,83/103/4451,9,2024-12-18,OVI,H0065
67/103/7011,2,2024-02-08,84/101/1826,2,2024-02-10,BOV,H0078
47/103/5628,6,2024-05-19,19/105/6652,6,2024-05-22,BOV,H0063
44/106/6022,25,2024-12-14,20/106/5240,25,2024-12-17,POR,H0011
18/101/5435,2,2024-03-19,58/101/0855,2,2024-03-22,BOV,H0092
